index,record_id,building_id,timestamp,season,subject_id,age,gender,ht,wt,ta,ta_h,ta_m,ta_l,top,tr,tg,tg_h,tg_m,tg_l,rh,vel,vel_h,vel_m,vel_l,met,clo,activity_10,activity_20,activity_30,activity_60,thermal_sensation,thermal_acceptability,thermal_preference,thermal_comfort,air_movement_acceptability,air_movement_preference,blind_curtain,fan,window,door,heater,rh_out,t_out_monthly,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd,city,building_type,cooling_type,records,database,t_out_combined,country
45953,45954,359,2020-03-01T00:00:00Z,winter,,55.0,female,,,22.2,,22.2,,22.62,23.04,22.7,,22.7,,74.1,0.12,,0.12,,1.05,0.46,1.0,1.0,1.0,1.2,-1.0,acceptable,no change,5.0,unacceptable,more,,0.0,0.0,,0.0,,23.26,72.4246123738837,21.7,-1.22,36.1,-1.22,36.1,20.4,delhi,multifamily housing,mixed mode,2,2.1,20.18055555555556,india
45954,45955,359,2020-03-01T00:00:00Z,winter,,55.0,male,,,24.1,,24.1,,23.12,22.14,22.6,,22.6,,70.7,0.03,,0.03,,1.0,0.85,1.0,1.0,1.0,1.0,0.0,acceptable,no change,5.0,acceptable,more,,0.0,0.0,,0.0,,23.26,72.4246123738837,24.9,-0.05,5.0,-0.05,5.0,20.4,delhi,multifamily housing,mixed mode,2,2.1,20.18055555555556,india
45955,45956,360,2020-03-14T00:00:00Z,winter,,55.0,female,,,24.7,,24.7,,24.7,24.7,24.7,,24.7,,62.0,0.01,,0.01,,1.05,1.33,0.8,1.2,1.2,1.0,-1.0,acceptable,warmer,5.0,acceptable,more,,0.0,1.0,,0.0,,23.26,83.51456056068659,29.9,0.96,24.5,0.96,24.5,20.2,delhi,multifamily housing,mixed mode,13,2.1,19.094444444444445,india
45957,45958,360,2020-03-14T00:00:00Z,winter,,25.0,female,,,23.3,,23.3,,23.56,23.82,23.7,,23.7,,66.7,0.03,,0.03,,1.0,0.53,1.0,1.0,1.0,1.0,0.0,acceptable,cooler,5.0,acceptable,more,,0.0,1.0,,0.0,,23.26,83.51456056068659,23.0,-0.71,15.7,-0.71,15.7,20.2,delhi,multifamily housing,mixed mode,13,2.1,19.094444444444445,india
45969,45970,361,2020-03-01T00:00:00Z,winter,,45.0,male,,,25.5,,25.5,,25.18,24.85,25.0,,25.0,,54.3,0.03,,0.03,,1.08,0.75,1.0,1.0,1.1,1.2,0.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,23.26,72.4246123738837,26.3,0.42,8.7,0.42,8.7,20.4,delhi,multifamily housing,mixed mode,1,2.1,20.18055555555556,india
45970,45971,361,2020-03-01T00:00:00Z,winter,,55.0,female,,,23.1,,23.1,,22.96,22.83,22.9,,22.9,,60.8,0.04,,0.04,,1.13,0.64,1.2,1.1,1.1,1.1,0.0,acceptable,no change,6.0,acceptable,no change,,0.0,0.0,,0.0,,23.26,72.4246123738837,23.5,-0.29,6.8,-0.29,6.8,20.4,delhi,multifamily housing,mixed mode,1,2.1,20.18055555555556,india
45973,45974,363,2020-03-15T00:00:00Z,winter,,55.0,female,,,21.9,,21.9,,21.9,21.9,21.9,,21.9,,65.8,0.13,,0.13,,1.35,1.05,1.2,1.2,1.2,1.8,-1.0,acceptable,warmer,5.0,acceptable,less,,0.0,0.0,,0.0,,23.26,71.20526382407614,26.9,0.13,5.3,0.08,5.1,20.1,delhi,multifamily housing,mixed mode,13,2.1,18.552777777777777,india
45974,45975,363,2020-03-15T00:00:00Z,winter,,55.0,male,,,21.7,,21.7,,21.8,21.9,21.9,,21.9,,66.6,0.0,,0.0,,1.1,0.91,1.1,1.1,1.1,1.1,0.0,acceptable,no change,5.0,acceptable,more,,0.0,0.0,,0.0,,23.26,71.20526382407614,24.4,-0.16,5.5,-0.16,5.5,20.1,delhi,multifamily housing,mixed mode,13,2.1,18.552777777777777,india
45975,45976,363,2020-03-17T00:00:00Z,winter,,35.0,male,,,22.6,,22.6,,22.95,23.48,23.2,,23.2,,64.8,0.06,,0.06,,1.65,0.82,2.5,2.5,0.8,0.8,1.0,acceptable,no change,4.0,acceptable,no change,,0.0,1.0,,0.0,,23.26,63.03575065231927,27.1,0.37,7.9,0.25,6.3,19.9,delhi,multifamily housing,mixed mode,13,2.1,21.24305555555556,india
45984,45985,363,2020-11-01T00:00:00Z,winter,,55.0,male,,,25.0,,25.0,,25.07,25.13,25.1,,25.1,,51.1,0.04,,0.04,,1.1,0.62,1.1,1.1,1.1,1.1,-1.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,18.3,48.99227226108194,25.2,0.18,5.6,0.18,5.6,22.4,delhi,multifamily housing,mixed mode,13,2.1,21.476388888888888,india
45985,45986,363,2020-11-01T00:00:00Z,winter,,25.0,female,,,25.5,,25.5,,25.35,25.2,25.3,,25.3,,50.7,0.07,,0.07,,1.3,0.44,1.0,1.4,1.4,1.4,-1.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,18.3,48.99227226108194,24.3,0.03,5.0,0.09,5.2,22.4,delhi,multifamily housing,mixed mode,13,2.1,21.476388888888888,india
